NewPrinter,OldPrinter
Leroy.WO.Printer.Gbg.Gestetner.MPC3502,Leroy.Gbg.Printers.Ricoh.C3502.Allow
Leroy.WO.Printer.Gbg.Gestetner.MPC3502.Default,Leroy.Gbg.Printers.Ricoh.C3502.Default.Allow
Leroy.WO.Printer.Gbg.Gestetner.MPC4502,Leroy.Gbg.Printers.Ricoh.C4502.Allow
Leroy.WO.Printer.Gbg.Gestetner.MPC4502.Default,Leroy.Gbg.Printers.Ricoh.C4502.Default.Allow
Leroy.WO.Printer.Gbg.Gestetner.MPC4502.Fraktsedel,Leroy.Gbg.Printers.Ricoh.C4502.Fraktsedel.Allow
Leroy.WO.Printer.Gbg.Gestetner.MPC4502.Fraktsedel.Default,New
Leroy.WO.Printer.Gbg.HP.LaserJet.4200,Leroy.Gbg.Printers.HP.LaserJet4200.Allow
Leroy.WO.Printer.Gbg.HP.LaserJet.4200.Default,Leroy.Gbg.Printers.HP.LaserJet4200.Default.Allow
Leroy.WO.Printer.Gbg.RICOH.Aficio.MPC2500,Leroy.Gbg.Printers.Ricoh.MPC2500.Allow
Leroy.WO.Printer.Gbg.RICOH.Aficio.MPC2500.Default,Leroy.Gbg.Printers.Ricoh.MPC2500.Default.Allow
Leroy.WO.Printer.Gbg.RICOH.Aficio.MPC2500.SvartVitt,Leroy.Gbg.Printers.Ricoh.MPC2500.Default.Allow.Guest
Leroy.WO.Printer.Gbg.RICOH.Aficio.MPC2500.SvartVitt.Default,New
Leroy.WO.Printer.Gbg.Samsung.ML-2580N,Leroy.Gbg.Printers.Samsung.ML2580N.Allow
Leroy.WO.Printer.Gbg.Samsung.ML-2580N.Default,New
Leroy.WO.Printer.Lomma.RICOH.Aficio.MPC2800.Lagerkontor,Leroy.Lomma.Printers.Ricoh.MPC2800.Lager.Allow
Leroy.WO.Printer.Lomma.RICOH.Aficio.MPC2800.Lagerkontor.Default,Leroy.Lomma.Printers.Ricoh.MPC2800.Lager.Default.Allow
Leroy.WO.Printer.Lomma.RICOH.Aficio.MPC2800.Teknikrummet,Leroy.Lomma.Printers.Ricoh.MPC2800.Allow
Leroy.WO.Printer.Lomma.RICOH.Aficio.MPC2800.Teknikrummet.Default,Leroy.Lomma.Printers.Ricoh.MPC2800.Default.Allow
Leroy.WO.Printer.Sthlm.Anders.HP_LJ3600,Leroy.Sthlm.Printers.HP.ColorLaserJet3600.Allow
Leroy.WO.Printer.Sthlm.Anders.HP_LJ3600.Default,Leroy.Sthlm.Printers.HP.ColorLaserJet3600.Default.Allow
Leroy.WO.Printer.Sthlm.RICOH.Aficio.MP201_1,Leroy.Sthlm.Printers.Ricoh.AficioMP201_1.Allow
Leroy.WO.Printer.Sthlm.RICOH.Aficio.MP201_1.Default,Leroy.Sthlm.Printers.Ricoh.AficioMP201_1.Default.Allow
Leroy.WO.Printer.Sthlm.RICOH.Aficio.MP201_2,Leroy.Sthlm.Printers.Ricoh.AficioMP201_2.Allow
Leroy.WO.Printer.Sthlm.RICOH.Aficio.MP201_2.Default,Leroy.Sthlm.Printers.Ricoh.AficioMP201_2.Default.Allow
Leroy.WO.Printer.Sthlm.RICOH.Aficio.MP201_3,New
Leroy.WO.Printer.Sthlm.RICOH.Aficio.MP201_3.Default,Leroy.Sthlm.Printers.Ricoh.AficioMP201_3.Default.Allow
Leroy.WO.Printer.Sthlm.RICOH.Aficio.MPC5501_1,Leroy.Sthlm.Printers.Ricoh.AficioMPC5501_1.Allow
Leroy.WO.Printer.Sthlm.RICOH.Aficio.MPC5501_1.Default,Leroy.Sthlm.Printers.Ricoh.AficioMPC5501_1.Default.Allow
Leroy.WO.Printer.Sthlm.RICOH.Aficio.MPC5501_2,Leroy.Sthlm.Printers.Ricoh.AficioMPC5501_2.Allow
Leroy.WO.Printer.Sthlm.RICOH.Aficio.MPC5501_2.Default,Leroy.Sthlm.Printers.Ricoh.AficioMPC5501_2.Default.Allow
